wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C
serial: dc:a6:32:89:f2:d0,2023-08-11 03:02,Normal,118.49,124.09,123.76,0.07,0.00,0.00,15.11,-0.01,0.98,0.01,0.00,0.00,-66.40,-0.15,0.30,-0.02,-0.00,0.00,130.27,0.21,1.34,0.04,0.00,0.00,0.52,2.08,2.01,100.00,400.00,230.94,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:03,Normal,118.51,124.12,123.80,0.07,0.00,0.00,17.03,-0.00,0.97,0.01,0.00,0.00,-60.79,0.00,0.30,-0.02,0.00,0.00,142.08,0.20,1.34,0.04,0.00,0.00,0.44,1.99,1.84,100.00,400.00,230.71,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:04,Normal,118.51,124.12,123.83,0.07,0.00,0.00,12.37,-0.00,1.02,0.01,0.00,0.00,-73.63,0.00,0.15,-0.02,0.00,0.00,137.64,0.22,1.40,0.04,0.00,0.00,0.44,1.96,1.90,100.00,400.00,233.46,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:05,Normal,118.75,124.41,124.07,0.07,0.00,0.00,17.73,-0.01,0.97,0.01,0.00,0.00,-72.74,0.00,0.15,-0.02,0.00,0.00,145.80,0.20,1.34,0.04,0.00,0.00,0.58,1.86,1.63,100.00,400.00,228.95,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:06,Normal,118.75,124.38,124.14,0.07,0.00,0.00,13.94,-0.00,0.97,0.01,0.00,0.00,-66.54,0.00,0.30,-0.02,0.00,0.00,139.34,0.21,1.36,0.04,0.00,0.00,0.54,2.03,1.78,100.00,400.00,232.14,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:07,Normal,118.80,124.38,124.14,0.08,0.00,0.00,16.60,-0.02,0.99,0.01,0.00,0.00,-56.81,-0.15,0.44,-0.02,-0.00,0.00,150.11,0.22,1.34,0.04,0.00,0.00,0.49,1.92,2.01,100.00,400.00,230.00,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:08,Normal,118.87,124.50,124.19,0.07,0.00,0.00,17.77,-0.02,0.97,0.01,0.00,0.00,-61.08,0.00,0.30,-0.02,0.00,0.00,144.07,0.21,1.35,0.04,0.00,0.00,0.55,2.04,1.89,100.00,400.00,230.29,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:09,Normal,118.71,124.33,124.02,0.07,0.00,0.00,15.35,-0.01,0.99,0.01,0.00,0.00,-69.05,0.00,0.15,-0.02,0.00,0.00,142.64,0.22,1.37,0.04,0.00,0.00,0.47,2.20,1.87,100.00,400.00,231.85,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:10,Normal,118.54,124.14,123.90,0.07,0.00,0.00,14.63,0.00,0.97,0.01,0.00,0.00,-76.13,-0.15,0.30,-0.02,-0.00,0.00,147.32,0.21,1.35,0.04,0.00,0.00,0.50,1.82,1.80,100.00,400.00,231.10,1.95,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:11,Normal,118.61,124.24,123.97,0.07,0.00,0.00,15.46,0.01,0.97,0.01,0.00,0.00,-70.53,0.00,0.30,-0.02,0.00,0.00,147.40,0.21,1.34,0.04,0.00,0.00,0.52,2.19,1.54,100.00,400.00,232.02,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:12,Normal,118.75,124.41,124.12,0.07,0.00,0.00,13.89,-0.00,1.00,0.01,0.00,0.00,-59.90,0.00,0.44,-0.02,0.00,0.00,137.01,0.24,1.40,0.04,0.00,0.00,0.50,2.08,1.91,100.00,400.00,233.00,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:13,Normal,118.73,124.38,124.09,0.06,0.00,0.00,12.54,0.00,0.96,0.01,0.00,0.00,-62.12,-0.15,0.30,-0.02,-0.00,0.00,126.76,0.21,1.33,0.04,0.00,0.00,0.48,2.06,1.79,100.00,400.00,231.11,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 03:14,Normal,118.71,124.38,124.09,0.06,0.00,0.00,14.27,-0.02,0.99,0.01,0.00,0.00,-59.76,0.00,0.44,-0.02,0.00,0.00,125.93,0.22,1.36,0.04,0.00,0.00,0.51,2.02,1.65,100.00,400.00,232.83,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:15,Normal,118.78,124.38,124.12,0.06,0.00,0.00,10.33,0.02,1.00,0.01,0.00,0.00,-62.12,-0.15,0.44,-0.02,-0.00,0.00,122.73,0.24,1.40,0.04,0.00,0.00,0.48,2.17,1.63,100.00,400.00,233.07,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:16,Normal,118.83,124.43,124.14,0.07,0.00,0.00,16.45,-0.01,0.98,0.01,0.00,0.00,-63.15,0.00,0.30,-0.02,0.00,0.00,146.94,0.24,1.37,0.04,0.00,0.00,0.51,1.89,1.84,100.00,400.00,228.51,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:17,Normal,118.85,124.48,124.19,0.07,0.00,0.00,14.95,0.01,1.01,0.01,0.00,0.00,-65.51,0.00,0.30,-0.02,0.00,0.00,144.17,0.22,1.38,0.04,0.00,0.00,0.49,2.08,1.90,100.00,400.00,231.03,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:18,Normal,118.78,124.41,124.09,0.07,0.00,0.00,16.02,-0.01,0.96,0.01,0.00,0.00,-63.00,0.00,0.30,-0.02,0.00,0.00,134.97,0.24,1.32,0.04,0.00,0.00,0.51,2.18,1.86,100.00,400.00,229.62,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:19,Normal,118.66,124.29,123.95,0.07,0.00,0.00,14.43,-0.01,0.96,0.01,0.00,0.00,-59.61,0.00,0.44,-0.02,0.00,0.00,130.87,0.24,1.34,0.04,0.00,0.00,0.51,2.06,1.86,100.00,400.00,233.67,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 03:20,Normal,118.46,124.09,123.73,0.07,0.00,0.00,12.57,0.01,1.01,0.01,-0.00,0.00,-63.45,-0.15,0.30,-0.02,-0.00,0.00,140.60,0.23,1.39,0.04,0.00,0.00,0.40,2.09,2.08,100.00,400.00,231.93,1.94,0.07,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:21,Normal,118.49,124.05,123.73,0.08,0.00,0.00,14.77,-0.00,0.98,0.01,0.00,0.00,-61.97,0.00,0.30,-0.02,0.00,0.00,149.20,0.24,1.35,0.04,0.00,0.00,0.47,1.77,1.98,100.00,400.00,228.45,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:22,Normal,118.49,124.07,123.73,0.07,0.00,0.00,14.96,-0.01,0.98,0.01,0.00,0.00,-71.27,0.00,0.30,-0.02,0.00,0.00,142.61,0.23,1.35,0.04,0.00,0.00,0.50,1.78,2.06,100.00,400.00,240.37,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:23,Normal,118.71,124.31,124.00,0.07,0.00,0.00,18.29,-0.02,0.96,0.01,0.00,0.00,-66.84,0.00,0.30,-0.02,0.00,0.00,147.18,0.24,1.33,0.04,0.00,0.00,0.48,2.51,1.75,100.00,400.00,231.67,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:24,Normal,118.63,124.21,123.90,0.07,0.00,0.00,17.26,0.01,0.96,0.01,0.00,0.00,-59.02,0.00,0.44,-0.02,0.00,0.00,143.89,0.23,1.33,0.04,0.00,0.00,0.55,1.98,1.81,100.00,400.00,229.27,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:25,Normal,118.71,124.29,123.92,0.08,0.00,0.00,13.39,0.01,1.00,0.01,0.00,0.00,-69.79,0.00,0.30,-0.02,0.00,0.00,152.77,0.24,1.36,0.04,0.00,0.00,0.54,2.22,1.67,100.00,400.00,234.56,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:26,Normal,118.71,124.31,123.95,0.07,0.00,0.00,16.90,0.01,0.97,0.01,0.00,0.00,-61.08,-0.15,0.30,-0.02,-0.00,0.00,144.05,0.23,1.34,0.04,0.00,0.00,0.50,2.10,1.91,100.00,400.00,227.99,1.93,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:27,Normal,118.87,124.48,124.17,0.08,0.00,0.00,14.14,-0.01,1.00,0.01,0.00,0.00,-77.17,0.00,0.00,-0.02,0.00,0.00,151.04,0.23,1.38,0.04,0.00,0.00,0.53,2.08,1.98,100.00,400.00,232.99,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:28,Normal,118.87,124.48,124.21,0.07,0.00,0.00,16.04,-0.00,0.98,0.01,0.00,0.00,-65.07,-0.15,0.30,-0.02,-0.00,0.00,136.12,0.24,1.34,0.04,0.00,0.00,0.52,2.16,1.72,100.00,400.00,236.99,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:29,Normal,118.78,124.38,124.07,0.07,0.00,0.00,16.43,0.01,0.97,0.01,0.00,0.00,-57.54,-0.15,0.44,-0.02,-0.00,0.00,145.58,0.23,1.34,0.04,0.00,0.00,0.53,2.38,1.74,100.00,400.00,230.36,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 03:30,Normal,118.83,124.45,124.14,0.08,0.00,0.00,17.10,-0.03,0.98,0.01,0.00,0.00,-63.74,0.00,0.30,-0.02,0.00,0.00,151.84,0.24,1.37,0.04,0.00,0.00,0.52,2.19,1.74,100.00,400.00,231.20,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 03:40,Normal,118.75,124.24,123.88,0.07,0.00,0.00,15.76,-0.02,0.98,0.01,0.00,0.00,-69.64,0.00,0.30,-0.02,0.00,0.00,145.95,0.26,1.38,0.04,0.00,0.00,0.49,0.00,0.00,100.00,0.00,0.00,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:41,Normal,118.73,124.26,123.83,0.07,0.00,0.00,17.78,0.00,0.97,0.01,0.00,0.00,-74.22,-0.15,0.15,-0.02,-0.00,0.00,146.29,0.22,1.33,0.04,0.00,0.00,0.53,1.89,1.64,100.00,400.00,234.88,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:42,Normal,118.85,124.31,123.90,0.07,0.00,0.00,17.15,0.00,0.96,0.01,0.00,0.00,-67.72,0.00,0.15,-0.02,0.00,0.00,146.65,0.22,1.33,0.04,0.00,0.00,0.55,2.17,1.94,100.00,400.00,231.94,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 03:43,Normal,118.80,124.29,123.90,0.07,0.00,0.00,16.45,-0.00,0.91,0.01,0.00,0.00,-62.41,-0.15,0.30,-0.02,-0.00,0.00,138.08,0.22,1.28,0.04,0.00,0.00,0.51,2.10,1.90,100.00,400.00,233.93,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 03:44,Normal,118.97,124.48,124.07,0.07,0.00,0.00,16.88,-0.02,0.96,0.01,0.00,0.00,-71.12,0.00,0.15,-0.02,0.00,0.00,148.21,0.22,1.32,0.04,0.00,0.00,0.52,2.18,2.03,100.00,400.00,231.86,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:45,Normal,119.19,124.72,124.33,0.08,0.00,0.00,15.10,-0.00,1.00,0.01,0.00,0.00,-79.53,-0.15,0.00,-0.02,-0.00,0.00,150.83,0.23,1.36,0.04,0.00,0.00,0.50,2.05,1.83,100.00,400.00,227.89,1.95,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 03:46,Normal,119.35,124.84,124.50,0.08,0.00,0.00,16.49,-0.00,0.98,0.01,0.00,0.00,-85.28,-0.15,0.00,-0.02,-0.00,0.00,150.91,0.23,1.34,0.04,0.00,0.00,0.52,2.12,1.89,100.00,400.00,229.26,1.95,0.00,0.40
