wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C
serial: dc:a6:32:89:f2:d0,2023-08-14 06:15,Normal,118.75,124.21,123.90,0.08,0.08,0.11,27.57,6.77,36.57,0.01,0.00,0.02,237.55,-132.35,38.07,0.07,-0.04,0.01,160.80,166.52,228.62,0.04,0.05,0.06,0.37,1.47,1.25,100.00,400.00,400.00,0.10,1.98,0.09
serial: dc:a6:32:89:f2:d0,2023-08-14 06:16,Normal,118.66,124.09,123.83,0.08,0.08,0.11,27.65,2.55,30.76,0.01,0.00,0.02,250.54,-131.76,28.62,0.07,-0.04,0.01,158.70,169.96,234.76,0.04,0.05,0.06,0.37,1.56,1.46,100.00,400.00,400.00,0.11,1.98,0.10
serial: dc:a6:32:89:f2:d0,2023-08-14 06:17,Normal,118.63,124.12,123.83,0.08,0.08,0.11,30.32,5.66,34.47,0.01,0.00,0.01,223.98,-124.83,46.48,0.06,-0.03,0.01,162.34,164.22,226.84,0.04,0.04,0.06,0.41,1.63,1.06,100.00,400.00,400.00,0.09,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:18,Normal,118.54,124.00,123.73,0.08,0.08,0.11,25.28,6.57,26.01,0.01,0.00,0.01,225.75,-130.28,45.30,0.06,-0.04,0.01,156.12,171.91,230.47,0.04,0.05,0.06,0.33,1.75,1.29,100.00,400.00,400.00,0.09,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:19,Normal,118.56,124.02,123.73,0.08,0.08,0.11,25.94,6.76,29.72,0.01,0.00,0.02,242.86,-131.91,36.89,0.07,-0.04,0.01,156.63,171.46,229.78,0.04,0.05,0.06,0.38,1.45,1.31,100.00,400.00,400.00,0.10,1.98,0.09
serial: dc:a6:32:89:f2:d0,2023-08-14 06:20,Normal,118.58,124.07,123.76,0.08,0.08,0.11,32.85,6.63,35.41,0.01,0.00,0.02,247.00,-127.33,36.59,0.07,-0.04,0.01,165.91,166.43,229.73,0.04,0.04,0.06,0.32,1.44,1.20,100.00,400.00,400.00,0.11,1.98,0.09
serial: dc:a6:32:89:f2:d0,2023-08-14 06:21,Normal,118.63,124.09,123.80,0.08,0.08,0.11,32.13,3.61,36.42,0.01,0.00,0.02,246.85,-129.69,36.89,0.07,-0.04,0.01,163.45,169.93,234.63,0.04,0.05,0.06,0.39,1.67,1.49,100.00,400.00,400.00,0.11,1.98,0.09
serial: dc:a6:32:89:f2:d0,2023-08-14 06:22,Normal,118.66,124.09,123.80,0.08,0.08,0.11,21.39,4.96,20.86,0.01,0.00,0.01,207.30,-125.56,60.05,0.06,-0.03,0.02,162.09,164.35,224.28,0.04,0.05,0.06,0.38,1.88,1.35,100.00,400.00,400.00,0.07,1.99,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 06:23,Normal,118.71,124.19,123.90,0.08,0.08,0.11,24.15,4.15,25.72,0.01,0.00,0.01,214.09,-131.91,51.35,0.06,-0.04,0.01,164.31,164.24,228.59,0.04,0.05,0.06,0.38,1.69,1.47,100.00,400.00,400.00,0.08,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:24,Normal,118.73,124.21,123.92,0.08,0.08,0.11,22.72,1.24,25.33,0.01,0.00,0.01,216.01,-133.68,55.77,0.06,-0.04,0.02,158.43,169.69,231.72,0.04,0.05,0.06,0.39,1.68,1.59,100.00,400.00,400.00,0.08,1.99,0.06
